1618003372.44	sta1	ap7	ap5	['ap5', 'ap7']	3.74	['113.71', '109.63', '0.00']
1618003382.43	sta1	ap5	ap6	['ap5', 'ap6']	3.74	['126.81', '133.93', '0.00']
1618004999.75	STA	OldAP	NewAP	APInRange	Speed	60.0,10.0,0
1618005012.54	sta1	ap1	ap3	['ap1', 'ap3']	3.74	['67.86', '24.58', '0.00']
1618005022.55	sta1	ap3	ap1	['ap1', 'ap3', 'ap4']	3.74	['80.96', '48.88', '0.00']
1618005026.55	sta1	ap1	ap2	['ap1', 'ap3', 'ap4', 'ap2']	3.74	['86.20', '58.60', '0.00']
1618005039.56	sta1	ap2	ap5	['ap4', 'ap2', 'ap5', 'ap7']	3.74	['103.23', '90.19', '0.00']
1618005041.53	sta1	ap5	ap7	['ap4', 'ap2', 'ap5', 'ap7']	3.74	['105.85', '95.05', '0.00']
1618005047.53	sta1	ap7	ap5	['ap5', 'ap7']	3.74	['113.71', '109.63', '0.00']
1618005057.55	sta1	ap5	ap6	['ap5', 'ap6']	3.74	['126.81', '133.93', '0.00']
1618356617.66	STA	OldAP	NewAP	APInRange	Speed	60.0,10.0,0
1618356627.18	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['61.50', '12.76', '0.00']
1618356627.65	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['61.50', '12.76', '0.00']
1618356627.86	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['61.50', '12.76', '0.00']
1618356628.07	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['62.00', '13.68', '0.00']
1618356628.21	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['62.00', '13.68', '0.00']
1618356628.31	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['62.00', '13.68', '0.00']
1618356628.4	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['62.00', '13.68', '0.00']
1618356628.49	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['62.00', '13.68', '0.00']
1618356628.59	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['62.00', '13.68', '0.00']
1618356628.69	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['62.00', '13.68', '0.00']
1618356628.8	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['62.00', '13.68', '0.00']
1618356628.9	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['62.00', '13.68', '0.00']
1618356629.0	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['62.00', '13.68', '0.00']
1618356629.1	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['62.50', '14.60', '0.00']
1618356629.23	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['62.50', '14.60', '0.00']
1618356629.32	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['62.50', '14.60', '0.00']
1618356629.43	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['62.50', '14.60', '0.00']
1618356629.51	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['62.50', '14.60', '0.00']
1618356629.66	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['62.50', '14.60', '0.00']
1618356629.79	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['62.50', '14.60', '0.00']
1618356629.93	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['62.50', '14.60', '0.00']
1618356630.04	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['62.50', '14.60', '0.00']
1618356630.19	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['63.00', '15.52', '0.00']
1618356630.28	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['63.00', '15.52', '0.00']
1618356630.38	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['63.00', '15.52', '0.00']
1618356630.48	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['63.00', '15.52', '0.00']
1618356630.59	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['63.00', '15.52', '0.00']
1618356630.73	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['63.00', '15.52', '0.00']
1618356630.88	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['63.00', '15.52', '0.00']
1618356630.99	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['63.00', '15.52', '0.00']
1618356631.14	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['63.00', '15.52', '0.00']
1618356631.26	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['63.50', '16.44', '0.00']
1618356631.37	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['63.50', '16.44', '0.00']
1618356631.45	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['63.50', '16.44', '0.00']
1618356631.57	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['63.50', '16.44', '0.00']
1618356631.65	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['63.50', '16.44', '0.00']
1618356631.75	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['63.50', '16.44', '0.00']
1618356631.85	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['63.50', '16.44', '0.00']
1618356631.96	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['63.50', '16.44', '0.00']
1618356632.04	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['63.50', '16.44', '0.00']
1618356632.12	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['63.50', '16.44', '0.00']
1618356632.22	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['64.00', '17.36', '0.00']
1618356632.35	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['64.00', '17.36', '0.00']
1618356632.42	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['64.00', '17.36', '0.00']
1618356632.52	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['64.00', '17.36', '0.00']
1618356632.62	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['64.00', '17.36', '0.00']
1618356632.75	sta1	ap1	ap1	['ap1', 'ap3']	1.42	['64.00', '17.36', '0.00']
